,ZCTA5CE10,NAME,CBSAFP
154,37348,"Tullahoma-Manchester, TN",46100
155,37350,"Chattanooga, TN-GA",16860
156,61820,"Champaign-Urbana, IL",16580
157,53406,"Chicago-Naperville-Elgin, IL-IN-WI",16980
158,53406,"Racine, WI",39540
159,53501,"Janesville-Beloit, WI",27500
160,53502,"Janesville-Beloit, WI",27500
161,53502,"Madison, WI",31540
162,53503,"Madison, WI",31540
163,53503,"Baraboo, WI",12660
164,61821,"Champaign-Urbana, IL",16580
165,53504,"Madison, WI",31540
166,53505,"Whitewater-Elkhorn, WI",48580
167,53505,"Janesville-Beloit, WI",27500
168,53506,"Platteville, WI",38420
169,53506,"Madison, WI",31540
170,53506,"Baraboo, WI",12660
171,53507,"Madison, WI",31540
172,53508,"Madison, WI",31540
173,61822,"Champaign-Urbana, IL",16580
174,53510,,
175,61830,"Decatur, IL",19500
176,61830,"Champaign-Urbana, IL",16580
177,61830,"Bloomington, IL",14010
178,61831,"Danville, IL",19180
179,53511,"Rockford, IL",40420
180,53511,"Janesville-Beloit, WI",27500
181,53515,"Madison, WI",31540
182,53516,"Madison, WI",31540
183,53517,"Madison, WI",31540
184,61832,"Danville, IL",19180
185,53518,"Platteville, WI",38420
186,61833,"Danville, IL",19180
187,53520,"Rockford, IL",40420
188,53520,"Janesville-Beloit, WI",27500
189,53520,"Madison, WI",31540
190,53521,"Janesville-Beloit, WI",27500
191,53521,"Madison, WI",31540
192,61834,"Terre Haute, IN",45460
193,61834,"Danville, IL",19180
194,53522,"Freeport, IL",23300
195,53522,"Madison, WI",31540
196,61839,"Champaign-Urbana, IL",16580
197,61839,"Bloomington, IL",14010
198,61840,"Champaign-Urbana, IL",16580
199,53523,"Watertown-Fort Atkinson, WI",48020
200,53523,"Madison, WI",31540
201,61841,"Danville, IL",19180
202,53525,"Rockford, IL",40420
203,53525,"Whitewater-Elkhorn, WI",48580
204,53525,"Janesville-Beloit, WI",27500
205,02457,"Boston-Cambridge-Newton, MA-NH",14460
